_id,symbol,timestamp,open,high,low,close,volume
"ObjectId(""65f589d5163e27828843a23f"")",BTCUSDT,2024-03-16T11:56:46.000Z,68274.68,68274.68,68274.68,68274.68,0.0028
"ObjectId(""65f589d5163e27828843a240"")",BTCUSDT,2024-03-16T11:56:47.000Z,68274.68,68274.68,68274.67,68274.67,0.03307
"ObjectId(""65f589d5163e27828843a241"")",BTCUSDT,2024-03-16T11:56:48.000Z,68274.68,68274.68,68274.68,68274.68,0.1751
"ObjectId(""65f589d5163e27828843a242"")",BTCUSDT,2024-03-16T11:56:49.000Z,68274.68,68281.05,68274.68,68281.05,1.68137
"ObjectId(""65f589d5163e27828843a243"")",BTCUSDT,2024-03-16T11:56:50.000Z,68281.05,68299.99,68281.05,68299.98,1.15591
"ObjectId(""65f589d5163e27828843a244"")",BTCUSDT,2024-03-16T11:56:51.000Z,68299.99,68299.99,68299.98,68299.99,0.07194
"ObjectId(""65f589d5163e27828843a245"")",BTCUSDT,2024-03-16T11:56:52.000Z,68299.98,68300,68299.98,68300,0.61646
"ObjectId(""65f589d5163e27828843a246"")",BTCUSDT,2024-03-16T11:56:53.000Z,68300,68300,68299.99,68299.99,0.02811
"ObjectId(""65f589d5163e27828843a247"")",BTCUSDT,2024-03-16T11:56:54.000Z,68299.99,68300,68299.99,68300,0.0028
"ObjectId(""65f589d5163e27828843a248"")",BTCUSDT,2024-03-16T11:56:55.000Z,68300,68308,68300,68307.99,0.8947
"ObjectId(""65f589d5163e27828843a249"")",BTCUSDT,2024-03-16T11:56:56.000Z,68307.99,68307.99,68307.99,68307.99,0.26432
"ObjectId(""65f589d5163e27828843a24a"")",BTCUSDT,2024-03-16T11:56:57.000Z,68307.99,68308,68307.99,68307.99,0.03551
"ObjectId(""65f589d5163e27828843a24b"")",BTCUSDT,2024-03-16T11:56:58.000Z,68308,68308,68307.99,68307.99,0.09314
"ObjectId(""65f589d5163e27828843a24c"")",BTCUSDT,2024-03-16T11:56:59.000Z,68308,68308,68307.99,68307.99,0.04409
"ObjectId(""65f589d5163e27828843a24d"")",BTCUSDT,2024-03-16T11:57:00.000Z,68307.99,68311.06,68307.99,68311.06,0.58957
"ObjectId(""65f589d5163e27828843a24e"")",BTCUSDT,2024-03-16T11:57:01.000Z,68311.06,68311.06,68311.06,68311.06,0.22855
"ObjectId(""65f589d5163e27828843a24f"")",BTCUSDT,2024-03-16T11:57:02.000Z,68311.06,68311.06,68311.06,68311.06,0.01559
"ObjectId(""65f589d5163e27828843a250"")",BTCUSDT,2024-03-16T11:57:03.000Z,68311.06,68311.06,68311.05,68311.05,0.1372
"ObjectId(""65f589d5163e27828843a251"")",BTCUSDT,2024-03-16T11:57:04.000Z,68311.05,68311.06,68311.05,68311.06,0.06482
"ObjectId(""65f589d5163e27828843a252"")",BTCUSDT,2024-03-16T11:57:05.000Z,68311.06,68311.06,68311.05,68311.05,0.52694
"ObjectId(""65f589d5163e27828843a253"")",BTCUSDT,2024-03-16T11:57:06.000Z,68311.05,68311.06,68304,68304,0.5284
"ObjectId(""65f589d5163e27828843a254"")",BTCUSDT,2024-03-16T11:57:07.000Z,68304,68304.01,68304,68304.01,0.00306
"ObjectId(""65f589d5163e27828843a255"")",BTCUSDT,2024-03-16T11:57:08.000Z,68304,68304.01,68304,68304.01,0.08195
"ObjectId(""65f589d5163e27828843a256"")",BTCUSDT,2024-03-16T11:57:09.000Z,68304,68304.01,68304,68304,0.03155
"ObjectId(""65f589d5163e27828843a257"")",BTCUSDT,2024-03-16T11:57:10.000Z,68304.01,68304.01,68304.01,68304.01,0.62049
"ObjectId(""65f589d5163e27828843a258"")",BTCUSDT,2024-03-16T11:57:11.000Z,68304.01,68304.01,68304,68304,0.08301
"ObjectId(""65f589d5163e27828843a259"")",BTCUSDT,2024-03-16T11:57:12.000Z,68304.01,68304.01,68291.49,68291.49,2.54314
"ObjectId(""65f589d5163e27828843a25a"")",BTCUSDT,2024-03-16T11:57:13.000Z,68291.42,68291.42,68284.1,68284.14,0.09192
"ObjectId(""65f589d5163e27828843a25b"")",BTCUSDT,2024-03-16T11:57:14.000Z,68284.14,68293.37,68284.14,68293.37,0.75381
"ObjectId(""65f589d5163e27828843a25c"")",BTCUSDT,2024-03-16T11:57:15.000Z,68296,68299.8,68296,68299.8,1.00711
"ObjectId(""65f589d5163e27828843a25d"")",BTCUSDT,2024-03-16T11:57:16.000Z,68299.8,68299.8,68299.79,68299.79,3.84906
"ObjectId(""65f589d5163e27828843a25e"")",BTCUSDT,2024-03-16T11:57:17.000Z,68299.79,68299.79,68293.06,68293.06,0.11358
"ObjectId(""65f589d5163e27828843a25f"")",BTCUSDT,2024-03-16T11:57:18.000Z,68293.06,68293.06,68293.05,68293.06,0.14606
"ObjectId(""65f589d5163e27828843a260"")",BTCUSDT,2024-03-16T11:57:19.000Z,68293.06,68293.06,68293.05,68293.05,0.11298
"ObjectId(""65f589d5163e27828843a261"")",BTCUSDT,2024-03-16T11:57:20.000Z,68293.06,68293.06,68293.05,68293.06,0.66325
"ObjectId(""65f589d5163e27828843a262"")",BTCUSDT,2024-03-16T11:57:21.000Z,68293.06,68293.06,68293.05,68293.06,0.05137
"ObjectId(""65f589d5163e27828843a263"")",BTCUSDT,2024-03-16T11:57:22.000Z,68293.05,68293.05,68281.1,68281.1,0.22607
"ObjectId(""65f589d5163e27828843a264"")",BTCUSDT,2024-03-16T11:57:23.000Z,68281.11,68281.11,68281.1,68281.1,0.02056
"ObjectId(""65f589d5163e27828843a265"")",BTCUSDT,2024-03-16T11:57:24.000Z,68281.1,68281.11,68281.1,68281.11,0.112
"ObjectId(""65f589d5163e27828843a266"")",BTCUSDT,2024-03-16T11:57:25.000Z,68281.11,68281.11,68281.1,68281.11,0.55385
"ObjectId(""65f589d5163e27828843a267"")",BTCUSDT,2024-03-16T11:57:26.000Z,68281.11,68281.11,68281.1,68281.1,0.07182
"ObjectId(""65f589d5163e27828843a268"")",BTCUSDT,2024-03-16T11:57:27.000Z,68281.1,68281.11,68281.1,68281.1,0.04724
"ObjectId(""65f589d5163e27828843a269"")",BTCUSDT,2024-03-16T11:57:28.000Z,68281.11,68281.11,68281.1,68281.11,0.24125
"ObjectId(""65f589d5163e27828843a26a"")",BTCUSDT,2024-03-16T11:57:29.000Z,68281.1,68281.11,68281.1,68281.11,0.10386
"ObjectId(""65f589d5163e27828843a26b"")",BTCUSDT,2024-03-16T11:57:30.000Z,68281.11,68281.11,68281.1,68281.11,3.2089
"ObjectId(""65f589d5163e27828843a26c"")",BTCUSDT,2024-03-16T11:57:31.000Z,68281.1,68281.11,68281.1,68281.11,0.15831
"ObjectId(""65f589d5163e27828843a26d"")",BTCUSDT,2024-03-16T11:57:32.000Z,68281.11,68281.11,68281.1,68281.11,0.02079
"ObjectId(""65f589d5163e27828843a26e"")",BTCUSDT,2024-03-16T11:57:33.000Z,68281.11,68281.11,68281.1,68281.1,0.00063
"ObjectId(""65f589d5163e27828843a26f"")",BTCUSDT,2024-03-16T11:57:34.000Z,68281.1,68281.1,68281.1,68281.1,0.0003
"ObjectId(""65f589d5163e27828843a270"")",BTCUSDT,2024-03-16T11:57:35.000Z,68281.11,68281.11,68281.1,68281.11,0.52362
"ObjectId(""65f589d5163e27828843a271"")",BTCUSDT,2024-03-16T11:57:36.000Z,68281.1,68281.11,68281.1,68281.11,0.00824
"ObjectId(""65f589d5163e27828843a272"")",BTCUSDT,2024-03-16T11:57:37.000Z,68281.11,68281.11,68281.1,68281.11,0.06225
"ObjectId(""65f589d5163e27828843a273"")",BTCUSDT,2024-03-16T11:57:38.000Z,68281.1,68281.11,68281.1,68281.11,0.00086
"ObjectId(""65f589d5163e27828843a274"")",BTCUSDT,2024-03-16T11:57:39.000Z,68281.11,68283.64,68281.11,68283.64,0.58485
"ObjectId(""65f589d5163e27828843a275"")",BTCUSDT,2024-03-16T11:57:40.000Z,68283.64,68287.99,68283.64,68287.99,0.73571
"ObjectId(""65f589d5163e27828843a276"")",BTCUSDT,2024-03-16T11:57:41.000Z,68287.99,68288,68287.99,68287.99,0.00801
"ObjectId(""65f589d5163e27828843a277"")",BTCUSDT,2024-03-16T11:57:42.000Z,68288,68289.17,68288,68289.17,0.01579
"ObjectId(""65f589d5163e27828843a278"")",BTCUSDT,2024-03-16T11:57:43.000Z,68289.16,68289.16,68289.16,68289.16,0.04938
"ObjectId(""65f589d5163e27828843a279"")",BTCUSDT,2024-03-16T11:57:44.000Z,68289.16,68294.37,68289.16,68294.37,0.10166
"ObjectId(""65f589d5163e27828843a27a"")",BTCUSDT,2024-03-16T11:57:45.000Z,68296,68297.26,68296,68297.25,0.52333
"ObjectId(""65f589d5163e27828843a27b"")",BTCUSDT,2024-03-16T11:57:46.000Z,68297.26,68297.26,68297.25,68297.25,0.03054
"ObjectId(""65f589d5163e27828843a27c"")",BTCUSDT,2024-03-16T11:57:47.000Z,68297.26,68297.26,68297.25,68297.26,0.02659
"ObjectId(""65f589d5163e27828843a27d"")",BTCUSDT,2024-03-16T11:57:48.000Z,68297.25,68297.25,68297.25,68297.25,0.00826
"ObjectId(""65f589d5163e27828843a27e"")",BTCUSDT,2024-03-16T11:57:49.000Z,68297.26,68299.79,68297.26,68299.79,0.00995
